description,category,deadline_proximity,vulnerability_score,urgency_label
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,22,51,High
"Security threat detected in urban sector, immediate action required (Updated case)",Education,8,50,Medium
Road repairs required due to heavy rainfall damage (Updated case),Education,13,52,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,20,68,High
Road repairs required due to heavy rainfall damage (Updated case),Logistics,23,3,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,6,26,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,5,32,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,33,50,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,26,80,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,1,43,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,22,1,Medium
New school materials needed for underprivileged children (Updated case),Logistics,7,10,Medium
Educational program for refugees requires immediate funding (Updated case),Education,10,100,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,11,51,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,19,35,High
Educational program for refugees requires immediate funding (Updated case),Logistics,20,34,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,17,58,Critical
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,25,15,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Security,18,48,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,10,74,Low
Relief efforts delayed due to severe weather conditions (Updated case),Medical,27,21,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Education,19,53,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,6,47,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,22,74,Critical
New school materials needed for underprivileged children (Updated case),Logistics,28,29,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,15,86,High
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,9,93,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,22,87,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,15,63,High
Educational program for refugees requires immediate funding (Updated case),Education,24,58,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,17,78,Low
Educational program for refugees requires immediate funding (Updated case),Education,21,53,High
Relief efforts delayed due to severe weather conditions (Updated case),Medical,28,51,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,24,20,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,1,71,High
Educational program for refugees requires immediate funding (Updated case),Security,21,20,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Security,32,40,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,17,38,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,11,69,Medium
New school materials needed for underprivileged children (Updated case),Logistics,14,38,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,15,93,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,16,39,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Education,25,50,Medium
Educational program for refugees requires immediate funding (Updated case),Education,7,96,Medium
Road repairs required due to heavy rainfall damage (Updated case),Logistics,7,77,High
Educational program for refugees requires immediate funding (Updated case),Medical,23,13,High
Educational program for refugees requires immediate funding (Updated case),Education,14,5,Medium
Educational program for refugees requires immediate funding (Updated case),Education,25,56,High
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,4,9,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,20,10,Critical
Urgent need for medical supplies in rural areas (Updated case),Security,19,64,High
Urgent need for medical supplies in rural areas (Updated case),Medical,17,90,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,23,52,Low
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,8,86,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Security,22,86,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,1,17,Low
Relief efforts delayed due to severe weather conditions (Updated case),Security,4,23,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,3,62,High
"Security threat detected in urban sector, immediate action required (Updated case)",Education,10,88,Medium
Road repairs required due to heavy rainfall damage (Updated case),Medical,4,23,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,32,31,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,9,78,Low
New school materials needed for underprivileged children (Updated case),Security,19,45,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Security,24,87,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,1,26,Critical
Road repairs required due to heavy rainfall damage (Updated case),Medical,10,29,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,14,67,Low
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,4,69,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,18,74,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,16,10,Low
New school materials needed for underprivileged children (Updated case),Logistics,15,62,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,23,78,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,16,71,High
Road repairs required due to heavy rainfall damage (Updated case),Security,14,8,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,29,37,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,24,77,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,25,46,High
Relief efforts delayed due to severe weather conditions (Updated case),Medical,21,22,High
New school materials needed for underprivileged children (Updated case),Logistics,5,58,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,23,69,High
Urgent need for medical supplies in rural areas (Updated case),Security,17,57,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,16,46,Critical
Urgent need for medical supplies in rural areas (Updated case),Logistics,20,95,Low
Educational program for refugees requires immediate funding (Updated case),Education,21,30,Medium
New school materials needed for underprivileged children (Updated case),Logistics,20,34,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,23,91,Critical
Educational program for refugees requires immediate funding (Updated case),Logistics,26,100,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,33,9,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Security,21,69,High
Logistical delays affecting food distribution in remote villages (Updated case),Security,13,52,Medium
Urgent need for medical supplies in rural areas (Updated case),Education,18,9,Critical
Educational program for refugees requires immediate funding (Updated case),Security,4,4,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,14,92,High
Road repairs required due to heavy rainfall damage (Updated case),Logistics,15,21,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,8,23,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,11,31,High
Logistical delays affecting food distribution in remote villages (Updated case),Security,3,80,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Education,8,8,High
Road repairs required due to heavy rainfall damage (Updated case),Logistics,26,89,High
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,6,45,Medium
Road repairs required due to heavy rainfall damage (Updated case),Medical,4,48,High
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,26,23,Low
Logistical delays affecting food distribution in remote villages (Updated case),Medical,1,18,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,32,90,Critical
Urgent need for medical supplies in rural areas (Updated case),Security,19,87,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,20,17,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,13,68,High
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,11,9,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,11,50,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,7,44,High
Logistical delays affecting food distribution in remote villages (Updated case),Security,28,66,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,13,84,Medium
New school materials needed for underprivileged children (Updated case),Education,8,50,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,26,51,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,12,99,High
Road repairs required due to heavy rainfall damage (Updated case),Security,7,39,Critical
Educational program for refugees requires immediate funding (Updated case),Logistics,13,98,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,15,80,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,15,7,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Security,17,1,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,1,15,High
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,18,49,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,23,1,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,6,63,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,22,47,Critical
Road repairs required due to heavy rainfall damage (Updated case),Medical,31,81,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Security,3,4,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Security,21,21,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,22,94,Medium
Educational program for refugees requires immediate funding (Updated case),Education,31,79,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,29,84,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,5,100,Critical
Educational program for refugees requires immediate funding (Updated case),Infrastructure,22,19,High
Road repairs required due to heavy rainfall damage (Updated case),Education,31,36,Critical
Urgent need for medical supplies in rural areas (Updated case),Logistics,15,25,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,19,23,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,26,67,High
Logistical delays affecting food distribution in remote villages (Updated case),Medical,23,12,Medium
Educational program for refugees requires immediate funding (Updated case),Education,11,24,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,19,24,High
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,16,62,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,6,12,Critical
Educational program for refugees requires immediate funding (Updated case),Medical,8,91,Low
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,11,60,Low
Logistical delays affecting food distribution in remote villages (Updated case),Security,18,50,Critical
Road repairs required due to heavy rainfall damage (Updated case),Logistics,6,95,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,24,75,Low
Educational program for refugees requires immediate funding (Updated case),Logistics,22,83,High
New school materials needed for underprivileged children (Updated case),Security,19,12,Low
Logistical delays affecting food distribution in remote villages (Updated case),Medical,16,31,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,13,71,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,28,40,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,25,72,Critical
Educational program for refugees requires immediate funding (Updated case),Education,10,98,Medium
New school materials needed for underprivileged children (Updated case),Medical,17,1,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,12,86,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,10,69,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,33,12,Low
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,13,93,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,23,56,Low
New school materials needed for underprivileged children (Updated case),Education,14,45,Critical
New school materials needed for underprivileged children (Updated case),Logistics,7,30,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,32,11,Low
New school materials needed for underprivileged children (Updated case),Infrastructure,28,27,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,8,89,Low
Educational program for refugees requires immediate funding (Updated case),Education,4,52,Low
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,28,79,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,17,1,Critical
New school materials needed for underprivileged children (Updated case),Medical,15,47,High
Road repairs required due to heavy rainfall damage (Updated case),Logistics,26,100,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,25,92,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Education,8,32,High
Urgent need for medical supplies in rural areas (Updated case),Medical,26,7,Medium
Educational program for refugees requires immediate funding (Updated case),Logistics,17,37,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,5,49,Low
Logistical delays affecting food distribution in remote villages (Updated case),Medical,8,87,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,1,77,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,31,90,High
Road repairs required due to heavy rainfall damage (Updated case),Medical,32,22,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,17,20,Low
Educational program for refugees requires immediate funding (Updated case),Education,5,7,High
Urgent need for medical supplies in rural areas (Updated case),Education,10,45,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,12,30,High
Logistical delays affecting food distribution in remote villages (Updated case),Education,1,70,High
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,21,82,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,16,36,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,15,43,Critical
Educational program for refugees requires immediate funding (Updated case),Security,1,3,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Security,10,10,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,1,7,Low
Educational program for refugees requires immediate funding (Updated case),Medical,30,77,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,29,39,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,13,9,High
Urgent need for medical supplies in rural areas (Updated case),Logistics,15,28,Low
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,18,96,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,13,46,High
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,17,26,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,18,40,High
Urgent need for medical supplies in rural areas (Updated case),Logistics,29,90,Medium
New school materials needed for underprivileged children (Updated case),Medical,13,55,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,22,75,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,16,25,High
Urgent need for medical supplies in rural areas (Updated case),Education,6,50,Low
Urgent need for medical supplies in rural areas (Updated case),Education,3,68,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,21,48,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,26,38,Low
Logistical delays affecting food distribution in remote villages (Updated case),Medical,3,63,Critical
Educational program for refugees requires immediate funding (Updated case),Education,24,15,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,18,87,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,23,72,High
Urgent need for medical supplies in rural areas (Updated case),Medical,22,74,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Education,5,73,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Medical,30,81,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,20,10,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,7,57,Low
Road repairs required due to heavy rainfall damage (Updated case),Logistics,22,43,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,6,38,Critical
New school materials needed for underprivileged children (Updated case),Security,21,18,High
Urgent need for medical supplies in rural areas (Updated case),Logistics,3,17,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,29,57,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,15,76,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Security,7,1,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,24,69,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,1,46,High
New school materials needed for underprivileged children (Updated case),Logistics,13,42,High
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,26,1,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Security,10,71,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,4,39,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,9,20,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,11,28,Low
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,10,89,Low
New school materials needed for underprivileged children (Updated case),Security,25,1,Medium
Educational program for refugees requires immediate funding (Updated case),Logistics,9,1,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Security,22,69,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,30,7,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,23,21,High
Logistical delays affecting food distribution in remote villages (Updated case),Security,1,56,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,26,68,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,26,12,Medium
Road repairs required due to heavy rainfall damage (Updated case),Logistics,26,87,Critical
Road repairs required due to heavy rainfall damage (Updated case),Education,18,72,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,20,7,Medium
Educational program for refugees requires immediate funding (Updated case),Logistics,28,41,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,14,94,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,24,42,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,3,28,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Security,1,72,Low
New school materials needed for underprivileged children (Updated case),Infrastructure,22,52,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,12,68,Low
New school materials needed for underprivileged children (Updated case),Logistics,9,29,Medium
Educational program for refugees requires immediate funding (Updated case),Education,23,47,Low
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,3,19,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,25,81,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,19,55,Critical
Road repairs required due to heavy rainfall damage (Updated case),Security,25,89,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,3,31,Low
Logistical delays affecting food distribution in remote villages (Updated case),Education,19,56,High
Road repairs required due to heavy rainfall damage (Updated case),Security,7,33,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,18,1,Critical
Educational program for refugees requires immediate funding (Updated case),Security,2,46,Critical
Road repairs required due to heavy rainfall damage (Updated case),Education,1,62,High
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,12,79,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,12,56,Medium
New school materials needed for underprivileged children (Updated case),Medical,15,26,Low
Logistical delays affecting food distribution in remote villages (Updated case),Education,4,70,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,28,25,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,1,73,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,13,12,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Security,23,11,Low
Relief efforts delayed due to severe weather conditions (Updated case),Medical,21,76,High
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,14,97,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,15,78,Medium
Urgent need for medical supplies in rural areas (Updated case),Education,10,21,High
Logistical delays affecting food distribution in remote villages (Updated case),Education,20,44,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,15,75,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,12,29,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,12,72,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,27,76,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,30,43,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,1,1,Low
New school materials needed for underprivileged children (Updated case),Education,24,1,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,27,32,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,8,13,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,28,71,Low
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,19,50,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,20,81,Low
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,17,85,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,16,29,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,10,20,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,1,1,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Education,17,78,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,24,71,Medium
Educational program for refugees requires immediate funding (Updated case),Security,7,40,Medium
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,27,4,Low
Road repairs required due to heavy rainfall damage (Updated case),Logistics,15,100,Critical
Educational program for refugees requires immediate funding (Updated case),Logistics,27,78,Low
New school materials needed for underprivileged children (Updated case),Infrastructure,15,62,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,18,81,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Education,8,9,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,14,46,Low
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,28,91,Low
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,15,4,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,21,1,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,6,25,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,9,14,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,27,65,Medium
New school materials needed for underprivileged children (Updated case),Logistics,6,59,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,20,17,Medium
Urgent need for medical supplies in rural areas (Updated case),Medical,22,79,High
Logistical delays affecting food distribution in remote villages (Updated case),Security,32,14,Critical
Urgent need for medical supplies in rural areas (Updated case),Logistics,28,20,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,27,100,Critical
New school materials needed for underprivileged children (Updated case),Infrastructure,8,63,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,14,12,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,1,18,High
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,1,46,Critical
New school materials needed for underprivileged children (Updated case),Security,32,9,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,10,60,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,8,65,Medium
Educational program for refugees requires immediate funding (Updated case),Infrastructure,8,34,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,32,24,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,31,80,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,5,98,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,11,68,High
Logistical delays affecting food distribution in remote villages (Updated case),Security,1,94,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,27,54,Low
Urgent need for medical supplies in rural areas (Updated case),Logistics,6,79,Critical
Educational program for refugees requires immediate funding (Updated case),Security,21,39,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,1,89,High
Logistical delays affecting food distribution in remote villages (Updated case),Education,17,42,High
Urgent need for medical supplies in rural areas (Updated case),Medical,25,84,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,11,90,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Security,21,23,Medium
Urgent need for medical supplies in rural areas (Updated case),Logistics,26,1,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,27,1,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,10,87,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,5,54,Critical
Road repairs required due to heavy rainfall damage (Updated case),Medical,21,94,Medium
New school materials needed for underprivileged children (Updated case),Education,33,35,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,32,86,High
Educational program for refugees requires immediate funding (Updated case),Infrastructure,18,21,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,21,46,Critical
New school materials needed for underprivileged children (Updated case),Security,18,38,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,28,40,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,27,27,High
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,20,48,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,24,100,Low
Urgent need for medical supplies in rural areas (Updated case),Logistics,10,60,High
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,14,81,Critical
New school materials needed for underprivileged children (Updated case),Education,1,63,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,20,36,Medium
Urgent need for medical supplies in rural areas (Updated case),Education,28,1,High
Educational program for refugees requires immediate funding (Updated case),Infrastructure,25,13,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,6,36,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,6,44,High
New school materials needed for underprivileged children (Updated case),Logistics,22,55,High
Road repairs required due to heavy rainfall damage (Updated case),Medical,1,31,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,21,82,High
Logistical delays affecting food distribution in remote villages (Updated case),Education,9,46,Low
Relief efforts delayed due to severe weather conditions (Updated case),Security,3,1,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,33,51,High
Road repairs required due to heavy rainfall damage (Updated case),Medical,9,42,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Education,15,98,High
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,3,37,Low
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,1,82,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,12,76,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,20,21,Low
New school materials needed for underprivileged children (Updated case),Logistics,25,28,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,10,20,Low
Urgent need for medical supplies in rural areas (Updated case),Logistics,14,58,High
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,1,36,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,6,16,High
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,16,51,High
"Security threat detected in urban sector, immediate action required (Updated case)",Security,29,9,High
Urgent need for medical supplies in rural areas (Updated case),Medical,21,92,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,25,76,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,19,41,Low
Educational program for refugees requires immediate funding (Updated case),Infrastructure,9,39,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,30,4,Low
Logistical delays affecting food distribution in remote villages (Updated case),Education,20,98,High
New school materials needed for underprivileged children (Updated case),Education,1,62,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,5,41,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,11,73,Medium
New school materials needed for underprivileged children (Updated case),Education,10,76,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,10,45,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Security,7,80,Low
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,1,46,Low
Relief efforts delayed due to severe weather conditions (Updated case),Education,8,94,Low
New school materials needed for underprivileged children (Updated case),Security,17,51,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,30,74,Low
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,12,92,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,15,100,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,6,38,Low
